CÃ³digo Provincia;CÃ³digo CantÃ³n;CÃ³digo Parroquia;Nombre de la Provincia;Nombre del CantÃ³n;Nombre de la Parroquia
18;02;52;TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO NEGRO
19;02;52; ZAMORA CHINCHIPE; CHINCHIPE;EL CHORRO
21;02;52;SUCUMBIOS; GONZALO PIZARRO;GONZALO PIZARRO 
22;02;52; ORELLANA;AGUARICO;CONONACO
01;03;52;AZUAY;GUALACEO;DANIEL CORDOVA TORAL (EL ORIENTE) 
03;03;52; CAÑAR;CAÑAR;CHOROCOPTE
04;03;52;CARCHI; ESPEJO;LA LIBERTAD (ALIZO)
05;03;52; COTOPAXI;PANGUA;PINLLOPATA
06;03;52;CHIMBORAZO; COLTA;COLUMBE
07;03;52;EL ORO;ATAHUALPA;CORDONCILLO
08;03;52;ESMERALDAS;MUISNE;DAULE
10;03;52;IMBABURA;COTACACHI;GARCIA MORENO  (LLURIMAGUA) 
11;03;52;LOJA ;CATAMAYO;GUAYQUICHUMA
13;03;52;MANABI;CHONE;CANUTO
15;03;52; NAPO;ARCHIDONA;COTUNDO
17;03;52;PICHINCHA; MEJIA;ALOASI
19;03;52; ZAMORA CHINCHIPE; NANGARITZA;NUEVO PARAISO
20;03;52; GALAPAGOS; SANTA CRUZ;SANTA ROSA (INCLUYE LA ISLA BALTRA)
21;03;52;SUCUMBIOS; PUTUMAYO;PUERTO BOLIVAR (PUERTO MONTUFAR)
22;03;52; ORELLANA; LA JOYA DE LOS SACHAS;POMPEYA
24;03;52;SANTA ELENA;SALINAS;JOSE LUIS TAMAYO (MUEY)
01;04;52;AZUAY; NABON;EL PROGRESO (CAB.EN ZHOTA) 
03;04;52; CAÑAR; LA TRONCAL;PANCHO NEGRO
04;04;52;CARCHI; MIRA;JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)
08;04;52;ESMERALDAS;QUININDE;CHURA (CHANCAMA) (CAB. EN EL YERBERO)
10;04;52;IMBABURA;OTAVALO;EUGENIO ESPEJO (CALPAQUI) 
12;04;52;LOS RIOS;PUEBLOVIEJO;SAN JUAN
13;04;52;MANABI;EL CARMEN;SAN PEDRO DE SUMA
14;04;52; MORONA SANTIAGO;PALORA;CUMANDA (CAB. EN COLONIA AGRICOLA SEVILLA DEL ORO)
15;04;52; NAPO;EL CHACO;LINARES
17;04;52;PICHINCHA; PEDRO MONCAYO;MALCHINGUI
19;04;52; ZAMORA CHINCHIPE; YACUAMBI;TUTUPALI
21;04;52;SUCUMBIOS;SHUSHUFINDI;PAÑACOCHA
22;04;52; ORELLANA; LORETO;PUERTO MURIALDO
01;05;52;AZUAY;PAUTE;BULAN (JOSE VICTOR IZQUIERDO) 
02;05;52;BOLIVAR;SAN MIGUEL;BILOVAN
04;05;52;CARCHI;MONTUFAR;CHITAN DE NAVARRETE
05;05;52; COTOPAXI; SALCEDO;CUSUBAMBA
06;05;52;CHIMBORAZO;CHUNCHI;COMPUD
08;05;52;ESMERALDAS;SAN LORENZO;ANCON (PICHANGAL) (CAB. EN PALMA REAL) 
10;05;52;IMBABURA;PIMAMPIRO;MARIANO ACOSTA
11;05;52;LOJA ;CHAGUARPAMBA;EL ROSARIO
13;05;52;MANABI; FLAVIO ALFARO;ZAPALLO
14;05;52; MORONA SANTIAGO;SANTIAGO;CHUPIANZA
17;05;52;PICHINCHA;RUMIÑAHUI;RUMIPAMBA
18;05;52;TUNGURAHUA; PATATE;LOS ANDES (CAB. EN POATUG) 
21;05;52;SUCUMBIOS; SUCUMBIOS;LA SOFIA
01;06;52;AZUAY; PUCARA;SAN RAFAEL DE SHARUG
05;06;52; COTOPAXI;SAQUISILI;CHANTILIN
06;06;52;CHIMBORAZO;GUAMOTE;PALMIRA
07;06;52;EL ORO;EL GUABO;LA IBERIA
08;06;52;ESMERALDAS;ATACAMES;SUA  (CAB. EN LA BOCANA) 
09;06;52;GUAYAS;DAULE;JUAN BAUTISTA AGUIRRE (LOS TINTOS) 
10;06;52;IMBABURA;SAN MIGUEL DE URCUQUI;LA MERCED DE BUENOS AIRES
11;06;52;LOJA ; ESPINDOLA;JIMBURA
13;06;52;MANABI; JIPIJAPA;EL ANEGADO (CAB. EN ELOY ALFARO)
14;06;52; MORONA SANTIAGO;SUCUA;HUAMBI
18;06;52;TUNGURAHUA; QUERO;YANAYACU - MOCHAPATA (CAB. EN YANAYACU) 
19;06;52; ZAMORA CHINCHIPE; EL PANGUI;PACHICUTZA
21;06;52;SUCUMBIOS;CASCALES;SEVILLA
05;07;52; COTOPAXI;SIGCHOS;ISINLIVI
06;07;52;CHIMBORAZO;GUANO;ILAPO
08;07;52;ESMERALDAS;RIOVERDE;CHUMUNDE 
12;07;52;LOS RIOS;VENTANAS;ZAPOTAL
15;07;52; NAPO;QUIJOS;CUYUJA
18;07;52;TUNGURAHUA;SAN PEDRO DE PELILEO;BOLIVAR
21;07;52;SUCUMBIOS;CUYABENO;AGUAS NEGRAS
01;08;52;AZUAY; SANTA ISABEL;EL CARMEN DE PIJILI
09;08;52;GUAYAS; EL EMPALME;EL ROSARIO
11;08;52;LOJA ;MACARA;LA VICTORIA
13;08;52;MANABI; MANTA;SANTA MARIANITA (BOCA DE PACOCHE)
14;08;52; MORONA SANTIAGO;SAN JUAN BOSCO ;SAN CARLOS DE LIMON  
18;08;52;TUNGURAHUA;SANTIAGO DE PILLARO;EMILIO MARIA TERAN (RUMIPAMBA)
19;08;52; ZAMORA CHINCHIPE;PALANDA;SAN FRANCISCO DEL VERGEL
01;09;52;AZUAY; SIGSIG;JIMA (GIMA)
06;09;52;CHIMBORAZO; PENIPE;MATUS
07;09;52;EL ORO;PASAJE;CASACAY
11;09;52;LOJA ;PALTAS;GUACHANAMA
13;09;52;MANABI; MONTECRISTI   ;LA PILA
14;09;52; MORONA SANTIAGO;TAISHA ;MACUMA  
19;09;52; ZAMORA CHINCHIPE;PAQUISHA ;NUEVO QUITO
07;10;52;EL ORO;PIÑAS;LA BOCANA
11;10;52;LOJA ; PUYANGO;EL ARENAL
13;10;52;MANABI;PAJAN;CASCOL
14;10;52; MORONA SANTIAGO;LOGROÑO ;SHIMPIS
01;11;52;AZUAY;CHORDELEG;LA UNION
07;11;52;EL ORO;PORTOVELO;MORALES
09;11;52;GUAYAS;NARANJAL;SAN CARLOS
11;11;52;LOJA ;SARAGURO;EL TABLON  
13;11;52;MANABI; PICHINCHA;SAN SEBASTIAN
07;12;52;EL ORO;SANTA ROSA;JAMBELI
11;12;52;LOJA ;SOZORANGA;TACAMOROS
01;13;52;AZUAY; SEVILLA DE ORO;PALMAS
07;13;52;EL ORO;ZARUMA;ARCAPAMBA
11;13;52;LOJA ;ZAPOTILLO;GARZAREAL
13;13;52;MANABI;SANTA ANA;HONORATO VASQUEZ (CAB. EN VASQUEZ)
07;14;52;EL ORO;LAS LAJAS;EL PARAISO 
09;14;52;GUAYAS;PEDRO CARBO;SABANILLA
11;14;52;LOJA ; PINDAL;12 DE DICIEMBRE (CAB.EN ACHIOTES)
11;15;52;LOJA ;QUILANGA;SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
13;15;52;MANABI; TOSAGUA;ANGEL PEDRO GILER (LA ESTANCILLA)
13;16;52;MANABI;24 DE MAYO;NOBOA
13;17;52;MANABI; PEDERNALES;10 DE AGOSTO
09;19;52;GUAYAS;SALITRE (URBINA JADO);LA VICTORIA (ÑAUZA)
13;19;52;MANABI;PUERTO LOPEZ;SALANGO
01;01;53;AZUAY;CUENCA;CHAUCHA
02;01;53;BOLIVAR; GUARANDA;JULIO E. MORENO (CATANAHUAN GRANDE)
03;01;53; CAÑAR;AZOGUES;GUAPAN
04;01;53;CARCHI; TULCAN;JULIO ANDRADE (OREJUELA) 
05;01;53; COTOPAXI;LATACUNGA;GUAITACAMA (GUAYTACAMA) 
06;01;53;CHIMBORAZO;RIOBAMBA;CUBIJIES
08;01;53;ESMERALDAS; ESMERALDAS;CRNEL. CARLOS CONCHA TORRES (CAB.EN HUELE)
09;01;53;GUAYAS; GUAYAQUIL;MORRO
10;01;53;IMBABURA; IBARRA;CAROLINA
11;01;53;LOJA ; LOJA;EL CISNE
12;01;53;LOS RIOS;BABAHOYO;FEBRES CORDERO (LAS JUNTAS) (CAB. EN MATA DE CACAO)
13;01;53;MANABI;PORTOVIEJO;CRUCITA
14;01;53; MORONA SANTIAGO;MORONA;GENERAL PROAÑO
15;01;53; NAPO;TENA;CHONTAPUNTA
17;01;53;PICHINCHA;QUITO;ATAHUALPA (HABASPAMBA) 
18;01;53;TUNGURAHUA;AMBATO;AUGUSTO N. MARTINEZ (MUNDUGLEO)
19;01;53; ZAMORA CHINCHIPE;ZAMORA;IMBANA (LA VICTORIA DE IMBANA)
21;01;53;SUCUMBIOS; LAGO AGRIO;GENERAL FARFAN
22;01;53; ORELLANA;ORELLANA;ALEJANDRO LABAKA
23;01;53;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;LUZ DE AMERICA 
24;01;53;SANTA ELENA; SANTA ELENA;CHANDUY
03;02;53; CAÑAR; BIBLIAN;TURUPAMBA
04;02;53;CARCHI; BOLIVAR;MONTE OLIVO
06;02;53;CHIMBORAZO;ALAUSI;GUASUNTOS
08;02;53;ESMERALDAS;ELOY ALFARO;BORBON
10;02;53;IMBABURA;ANTONIO ANTE;SAN JOSE DE CHALTURA
11;02;53;LOJA ;CALVAS;UTUANA
14;02;53; MORONA SANTIAGO; GUALAQUIZA;BOMBOIZA
17;02;53;PICHINCHA;CAYAMBE;OLMEDO (PESILLO)
18;02;53;TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO VERDE
22;02;53; ORELLANA;AGUARICO;SANTA MARIA DE HUIRIRIMA
01;03;53;AZUAY;GUALACEO;JADAN
02;03;53;BOLIVAR; CHIMBO;MAGDALENA (CHAPACOTO)
03;03;53; CAÑAR;CAÑAR;GENERAL MORALES (SOCARTE) 
04;03;53;CARCHI; ESPEJO;SAN ISIDRO
05;03;53; COTOPAXI;PANGUA;RAMON CAMPAÑA
06;03;53;CHIMBORAZO; COLTA;JUAN DE VELASCO (PANGOR)
07;03;53;EL ORO;ATAHUALPA;MILAGRO
08;03;53;ESMERALDAS;MUISNE;GALERA
10;03;53;IMBABURA;COTACACHI;IMANTAG
11;03;53;LOJA ;CATAMAYO;SAN PEDRO DE LA BENDITA
13;03;53;MANABI;CHONE;CONVENTO
14;03;53; MORONA SANTIAGO;LIMON INDANZA;SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO
17;03;53;PICHINCHA; MEJIA;CUTUGLAHUA
21;03;53;SUCUMBIOS; PUTUMAYO;PUERTO RODRIGUEZ
22;03;53; ORELLANA; LA JOYA DE LOS SACHAS;SAN CARLOS
01;04;53;AZUAY; NABON;LAS NIEVES (CHAYA)
04;04;53;CARCHI; MIRA;JUAN MONTALVO (SAN IGNACIO DE QUIL)
05;04;53; COTOPAXI; PUJILI;GUANGAJE
08;04;53;ESMERALDAS;QUININDE;MALIMPIA
10;04;53;IMBABURA;OTAVALO;GONZALEZ SUAREZ
15;04;53; NAPO;EL CHACO;OYACACHI
17;04;53;PICHINCHA; PEDRO MONCAYO;TOCACHI
21;04;53;SUCUMBIOS;SHUSHUFINDI;SAN ROQUE (CAB. EN SAN VICENTE)
22;04;53; ORELLANA; LORETO;SAN JOSE DE PAYAMINO
01;05;53;AZUAY;PAUTE;CHICAN (GUILLERMO ORTEGA) 
02;05;53;BOLIVAR;SAN MIGUEL;REGULO DE MORA
04;05;53;CARCHI;MONTUFAR;FERNANDEZ SALVADOR
05;05;53; COTOPAXI; SALCEDO;MULALILLO
06;05;53;CHIMBORAZO;CHUNCHI;GONZOL
08;05;53;ESMERALDAS;SAN LORENZO;CALDERON
10;05;53;IMBABURA;PIMAMPIRO;SAN FRANCISCO DE SIGSIPAMBA
11;05;53;LOJA ;CHAGUARPAMBA;SANTA RUFINA
12;05;53;LOS RIOS;QUEVEDO;SAN CARLOS
14;05;53; MORONA SANTIAGO;SANTIAGO;PATUCA
18;05;53;TUNGURAHUA; PATATE;SUCRE (CAB. EN SUCRE-PATATE URCU)
19;05;53; ZAMORA CHINCHIPE; YANTZAZA (YANZATZA);LOS ENCUENTROS
21;05;53;SUCUMBIOS; SUCUMBIOS;ROSA FLORIDA
05;06;53; COTOPAXI;SAQUISILI;COCHAPAMBA
07;06;53;EL ORO;EL GUABO;TENDALES (CAB.EN PUERTO TENDALES)
08;06;53;ESMERALDAS;ATACAMES;TONCHIGÃœE
09;06;53;GUAYAS;DAULE;LAUREL
10;06;53;IMBABURA;SAN MIGUEL DE URCUQUI;PABLO ARENAS
11;06;53;LOJA ; ESPINDOLA;SANTA TERESITA
13;06;53;MANABI; JIPIJAPA;JULCUY
19;06;53; ZAMORA CHINCHIPE; EL PANGUI;TUNDAYME
05;07;53; COTOPAXI;SIGCHOS;LAS PAMPAS
06;07;53;CHIMBORAZO;GUANO;LA PROVIDENCIA
08;07;53;ESMERALDAS;RIOVERDE;LAGARTO
11;07;53;LOJA ; GONZANAMA;NAMBACOLA
15;07;53; NAPO;QUIJOS;PAPALLACTA
18;07;53;TUNGURAHUA;SAN PEDRO DE PELILEO;COTALO
01;08;53;AZUAY; SANTA ISABEL;ZHAGLLI (SHAGLLI)
11;08;53;LOJA ;MACARA;SABIANGO (LA CAPILLA)
14;08;53; MORONA SANTIAGO;SAN JUAN BOSCO ;SAN JACINTO DE WAKAMBEIS 
18;08;53;TUNGURAHUA;SANTIAGO DE PILLARO;MARCOS ESPINEL (CHACATA) 
19;08;53; ZAMORA CHINCHIPE;PALANDA;VALLADOLID
01;09;53;AZUAY; SIGSIG;GUEL
06;09;53;CHIMBORAZO; PENIPE;PUELA
07;09;53;EL ORO;PASAJE;LA PEAÑA
14;09;53; MORONA SANTIAGO;TAISHA ;TUUTINENTZA 
07;10;53;EL ORO;PIÑAS;MOROMORO (CAB. EN EL VADO)
09;10;53;GUAYAS; MILAGRO;MARISCAL SUCRE (HUAQUES)
11;10;53;LOJA ; PUYANGO;EL LIMO (MARIANA DE JESUS)
13;10;53;MANABI;PAJAN;GUALE
01;11;53;AZUAY;CHORDELEG;LUIS GALARZA ORELLANA (CAB.EN DELEGSOL) 
07;11;53;EL ORO;PORTOVELO;SALATI
09;11;53;GUAYAS;NARANJAL;SANTA ROSA DE FLANDES
11;11;53;LOJA ;SARAGURO;LLUZHAPA
01;12;53;AZUAY; EL PAN;SAN VICENTE
07;12;53;EL ORO;SANTA ROSA;LA AVANZADA
07;13;53;EL ORO;ZARUMA;GUANAZAN
11;13;53;LOJA ;ZAPOTILLO;LIMONES
13;13;53;MANABI;SANTA ANA;LA UNION
07;14;53;EL ORO;LAS LAJAS;SAN ISIDRO
13;14;53;MANABI; SUCRE;CHARAPOTO
13;16;53;MANABI;24 DE MAYO;ARQ. SIXTO DURAN BALLEN
13;17;53;MANABI; PEDERNALES;ATAHUALPA
09;19;53;GUAYAS;SALITRE (URBINA JADO);JUNQUILLAL
09;20;53;GUAYAS;SAN JACINTO DE YAGUACHI;GRAL. PEDRO J. MONTERO (BOLICHE) 
01;01;54;AZUAY;CUENCA;CHECA (JIDCAY) 
03;01;54; CAÑAR;AZOGUES;JAVIER LOYOLA (CHUQUIPATA) 
04;01;54;CARCHI; TULCAN;MALDONADO
05;01;54; COTOPAXI;LATACUNGA;JOSEGUANGO BAJO
06;01;54;CHIMBORAZO;RIOBAMBA;FLORES
08;01;54;ESMERALDAS; ESMERALDAS;CHINCA
10;01;54;IMBABURA; IBARRA;LA ESPERANZA
11;01;54;LOJA ; LOJA;GUALEL
12;01;54;LOS RIOS;BABAHOYO;PIMOCHA
13;01;54;MANABI;PORTOVIEJO;PUEBLO NUEVO
15;01;54; NAPO;TENA;PANO
16;01;54; PASTAZA;PASTAZA;DIEZ  DE AGOSTO
17;01;54;PICHINCHA;QUITO;CALACALI
18;01;54;TUNGURAHUA;AMBATO;CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)
22;01;54; ORELLANA;ORELLANA;EL DORADO
23;01;54;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SAN JACINTO DEL BUA
24;01;54;SANTA ELENA; SANTA ELENA;MANGLARALTO
03;02;54; CAÑAR; BIBLIAN;JERUSALEN
04;02;54;CARCHI; BOLIVAR;SAN VICENTE DE PUSIR
06;02;54;CHIMBORAZO;ALAUSI;HUIGRA
07;02;54;EL ORO;ARENILLAS;PALMALES
08;02;54;ESMERALDAS;ELOY ALFARO;LA TOLA
10;02;54;IMBABURA;ANTONIO ANTE;SAN ROQUE
11;02;54;LOJA ;CALVAS;SANGUILLIN
14;02;54; MORONA SANTIAGO; GUALAQUIZA;CHIGÃœINDA
17;02;54;PICHINCHA;CAYAMBE;OTON
18;02;54;TUNGURAHUA;BAÑOS DE AGUA SANTA;ULBA
19;02;54; ZAMORA CHINCHIPE; CHINCHIPE;LA CHONTA
21;02;54;SUCUMBIOS; GONZALO PIZARRO;PUERTO LIBRE
22;02;54; ORELLANA;AGUARICO;TIPUTINI
01;03;54;AZUAY;GUALACEO;MARIANO MORENO
02;03;54;BOLIVAR; CHIMBO;SAN SEBASTIAN
03;03;54; CAÑAR;CAÑAR;GUALLETURO
06;03;54;CHIMBORAZO; COLTA;SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)
07;03;54;EL ORO;ATAHUALPA;SAN JOSE
08;03;54;ESMERALDAS;MUISNE;QUINGUE (OLMEDO PERDOMO FRANCO) 
10;03;54;IMBABURA;COTACACHI;PEÑAHERRERA
11;03;54;LOJA ;CATAMAYO;ZAMBI
13;03;54;MANABI;CHONE;CHIBUNGA
15;03;54; NAPO;ARCHIDONA;SAN PABLO DE USHPAYACU
17;03;54;PICHINCHA; MEJIA;EL CHAUPI
21;03;54;SUCUMBIOS; PUTUMAYO;SANTA ELENA
22;03;54; ORELLANA; LA JOYA DE LOS SACHAS;SAN SEBASTIAN DEL COCA
08;04;54;ESMERALDAS;QUININDE;VICHE
10;04;54;IMBABURA;OTAVALO;PATAQUI
14;04;54; MORONA SANTIAGO;PALORA;SANGAY (CAB. EN NAYAMANACA)
15;04;54; NAPO;EL CHACO;SANTA ROSA
17;04;54;PICHINCHA; PEDRO MONCAYO;TUPIGACHI
21;04;54;SUCUMBIOS;SHUSHUFINDI;SAN PEDRO DE LOS COFANES
22;04;54; ORELLANA; LORETO;SAN JOSE DE DAHUANO
01;05;54;AZUAY;PAUTE;EL CABO  
02;05;54;BOLIVAR;SAN MIGUEL;SAN PABLO  (SAN PABLO DE ATENAS)
04;05;54;CARCHI;MONTUFAR;LA PAZ
05;05;54; COTOPAXI; SALCEDO;MULLIQUINDIL (SANTA ANA)
06;05;54;CHIMBORAZO;CHUNCHI;LLAGOS
08;05;54;ESMERALDAS;SAN LORENZO;CARONDELET
11;05;54;LOJA ;CHAGUARPAMBA;AMARILLOS
14;05;54; MORONA SANTIAGO;SANTIAGO;SAN LUIS DE EL ACHO (CAB. EN EL ACHO) 
21;05;54;SUCUMBIOS; SUCUMBIOS;SANTA BARBARA
07;06;54;EL ORO;EL GUABO;RIO BONITO
08;06;54;ESMERALDAS;ATACAMES;TONSUPA
09;06;54;GUAYAS;DAULE;LIMONAL
10;06;54;IMBABURA;SAN MIGUEL DE URCUQUI;SAN BLAS
11;06;54;LOJA ; ESPINDOLA;27 DE ABRIL (CAB. EN LA NARANJA)
13;06;54;MANABI; JIPIJAPA;LA UNION
05;07;54; COTOPAXI;SIGCHOS;PALO QUEMADO
06;07;54;CHIMBORAZO;GUANO;SAN ANDRES
08;07;54;ESMERALDAS;RIOVERDE;MONTALVO (CAB. EN HORQUETA) 
11;07;54;LOJA ; GONZANAMA;PURUNUMA (EGUIGUREN) 
15;07;54; NAPO;QUIJOS;SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)
18;07;54;TUNGURAHUA;SAN PEDRO DE PELILEO;CHIQUICHA (CAB. EN CHIQUICHA GRANDE)
14;08;54; MORONA SANTIAGO;SAN JUAN BOSCO ;SANTIAGO DE PANANZA
18;08;54;TUNGURAHUA;SANTIAGO DE PILLARO;PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)
19;08;54; ZAMORA CHINCHIPE;PALANDA;LA CANELA
01;09;54;AZUAY; SIGSIG;LUDO
06;09;54;CHIMBORAZO; PENIPE;SAN ANTONIO DE BAYUSHIG
07;09;54;EL ORO;PASAJE;PROGRESO
11;09;54;LOJA ;PALTAS;LAURO GUERRERO
14;09;54; MORONA SANTIAGO;TAISHA ;PUMPUENTSA
07;10;54;EL ORO;PIÑAS;PIEDRAS
09;10;54;GUAYAS; MILAGRO;ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) 
11;10;54;LOJA ; PUYANGO;MERCADILLO
13;10;54;MANABI;PAJAN;LASCANO
01;11;54;AZUAY;CHORDELEG;SAN MARTIN DE PUZHIO
09;11;54;GUAYAS;NARANJAL;TAURA
11;11;54;LOJA ;SARAGURO;MANU
07;12;54;EL ORO;SANTA ROSA;SAN ANTONIO
07;13;54;EL ORO;ZARUMA;GUIZHAGUIÑA
11;13;54;LOJA ;ZAPOTILLO;PALETILLAS
01;01;55;AZUAY;CUENCA;CHIQUINTAD
02;01;55;BOLIVAR; GUARANDA;SALINAS
03;01;55; CAÑAR;AZOGUES;LUIS CORDERO
04;01;55;CARCHI; TULCAN;PIOTER
06;01;55;CHIMBORAZO;RIOBAMBA;LICAN
10;01;55;IMBABURA; IBARRA;LITA
11;01;55;LOJA ; LOJA;JIMBILLA
12;01;55;LOS RIOS;BABAHOYO;LA UNION
13;01;55;MANABI;PORTOVIEJO;RIOCHICO (RIO CHICO)
15;01;55; NAPO;TENA;PUERTO MISAHUALLI
16;01;55; PASTAZA;PASTAZA;FATIMA
17;01;55;PICHINCHA;QUITO;CALDERON (CARAPUNGO) 
18;01;55;TUNGURAHUA;AMBATO;HUACHI GRANDE
19;01;55; ZAMORA CHINCHIPE;ZAMORA;SABANILLA
21;01;55;SUCUMBIOS; LAGO AGRIO;EL ENO
22;01;55; ORELLANA;ORELLANA;EL EDEN
23;01;55;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VALLE HERMOSO
24;01;55;SANTA ELENA; SANTA ELENA;SIMON BOLIVAR (JULIO MORENO)
04;02;55;CARCHI; BOLIVAR;SAN RAFAEL
06;02;55;CHIMBORAZO;ALAUSI;MULTITUD
07;02;55;EL ORO;ARENILLAS;CARCABON
08;02;55;ESMERALDAS;ELOY ALFARO;LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)
14;02;55; MORONA SANTIAGO; GUALAQUIZA;EL ROSARIO
17;02;55;PICHINCHA;CAYAMBE;SANTA ROSA DE CUZUBAMBA
22;02;55; ORELLANA;AGUARICO;YASUNI
02;03;55;BOLIVAR; CHIMBO;TELIMBELA
03;03;55; CAÑAR;CAÑAR;HONORATO VASQUEZ (TAMBO VIEJO) 
07;03;55;EL ORO;ATAHUALPA;SAN JUAN DE CERRO AZUL
08;03;55;ESMERALDAS;MUISNE;SALIMA
10;03;55;IMBABURA;COTACACHI;PLAZA GUTIERREZ
13;03;55;MANABI;CHONE;ELOY ALFARO
17;03;55;PICHINCHA; MEJIA;MANUEL CORNEJO ASTORGA (TANDAPI)
22;03;55; ORELLANA; LA JOYA DE LOS SACHAS;LAGO SAN PEDRO
05;04;55; COTOPAXI; PUJILI;LA VICTORIA
08;04;55;ESMERALDAS;QUININDE;LA UNION
10;04;55;IMBABURA;OTAVALO;SAN JOSE DE QUICHINCHE 
11;04;55;LOJA ;CELICA;POZUL (SAN JUAN DE POZUL)
14;04;55; MORONA SANTIAGO;PALORA;16 DE AGOSTO
15;04;55; NAPO;EL CHACO;SARDINAS
21;04;55;SUCUMBIOS;SHUSHUFINDI;SIETE DE JULIO
22;04;55; ORELLANA; LORETO;SAN VICENTE DE HUATICOCHA
02;05;55;BOLIVAR;SAN MIGUEL;SANTIAGO
04;05;55;CARCHI;MONTUFAR;PIARTAL
05;05;55; COTOPAXI; SALCEDO;PANSALEO
08;05;55;ESMERALDAS;SAN LORENZO;5 DE JUNIO (CAB. EN UIMBI)
12;05;55;LOS RIOS;QUEVEDO;LA ESPERANZA
10;06;55;IMBABURA;SAN MIGUEL DE URCUQUI;TUMBABIRO
11;06;55;LOJA ; ESPINDOLA;EL INGENIO
14;06;55; MORONA SANTIAGO;SUCUA;SANTA MARIANITA DE JESUS
06;07;55;CHIMBORAZO;GUANO;SAN GERARDO DE PACAICAGUAN
08;07;55;ESMERALDAS;RIOVERDE;ROCAFUERTE
18;07;55;TUNGURAHUA;SAN PEDRO DE PELILEO;EL ROSARIO (RUMICHACA)
18;08;55;TUNGURAHUA;SANTIAGO DE PILLARO;SAN ANDRES
01;09;55;AZUAY; SIGSIG;SAN BARTOLOME
06;09;55;CHIMBORAZO; PENIPE;LA CANDELARIA
07;09;55;EL ORO;PASAJE;UZHCURRUMI
07;10;55;EL ORO;PIÑAS;SAN ROQUE (AMBROSIO MALDONADO)
11;10;55;LOJA ; PUYANGO;VICENTINO
11;11;55;LOJA ;SARAGURO;SAN ANTONIO DE QUMBE (CUMBE)
07;12;55;EL ORO;SANTA ROSA;TORATA
07;13;55;EL ORO;ZARUMA;HUERTAS
11;13;55;LOJA ;ZAPOTILLO;BOLASPAMBA
13;13;55;MANABI;SANTA ANA;SAN PABLO (CAB. EN PUEBLO NUEVO)
09;20;55;GUAYAS;SAN JACINTO DE YAGUACHI;YAGUACHI VIEJO (CONE)
01;01;56;AZUAY;CUENCA;LLACAO
02;01;56;BOLIVAR; GUARANDA;SAN LORENZO
03;01;56; CAÑAR;AZOGUES;PINDILIG
04;01;56;CARCHI; TULCAN;TOBAR DONOSO (LA BOCANA DE CAMUMBI) 
05;01;56; COTOPAXI;LATACUNGA;MULALO
06;01;56;CHIMBORAZO;RIOBAMBA;LICTO
09;01;56;GUAYAS; GUAYAQUIL;POSORJA
10;01;56;IMBABURA; IBARRA;SALINAS
11;01;56;LOJA ; LOJA;MALACATOS (VALLADOLID) 
13;01;56;MANABI;PORTOVIEJO;SAN PLACIDO
14;01;56; MORONA SANTIAGO;MORONA;SAN ISIDRO
15;01;56; NAPO;TENA;PUERTO NAPO
16;01;56; PASTAZA;PASTAZA;MONTALVO (ANDOAS) 
17;01;56;PICHINCHA;QUITO;CONOCOTO
18;01;56;TUNGURAHUA;AMBATO;IZAMBA
19;01;56; ZAMORA CHINCHIPE;ZAMORA;TIMBARA
21;01;56;SUCUMBIOS; LAGO AGRIO;PACAYACU
22;01;56; ORELLANA;ORELLANA;GARCIA MORENO
23;01;56;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;EL ESFUERZO
24;01;56;SANTA ELENA; SANTA ELENA;SAN JOSE DE ANCON
06;02;56;CHIMBORAZO;ALAUSI;PISTISHI (NARIZ DEL DIABLO)
08;02;56;ESMERALDAS;ELOY ALFARO;MALDONADO
14;02;56; MORONA SANTIAGO; GUALAQUIZA;NUEVA TARQUI
19;02;56; ZAMORA CHINCHIPE; CHINCHIPE;PUCAPAMBA
01;03;56;AZUAY;GUALACEO;REMIGIO CRESPO TORAL (GULAG)
03;03;56; CAÑAR;CAÑAR;INGAPIRCA
08;03;56;ESMERALDAS;MUISNE;SAN FRANCISCO
10;03;56;IMBABURA;COTACACHI;QUIROGA
13;03;56;MANABI;CHONE;RICAURTE
14;03;56; MORONA SANTIAGO;LIMON INDANZA;SAN MIGUEL DE CONCHAY
17;03;56;PICHINCHA; MEJIA;TAMBILLO
22;03;56; ORELLANA; LA JOYA DE LOS SACHAS;RUMIPAMBA
05;04;56; COTOPAXI; PUJILI;PILALO
